position,company,location,link,days_posted,date_posted,applied,date_applied,strikes,rank
Applied Scientist - Personalization Data Sciences,Amazon,"Seattle, WA",https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=297638&s=58&guid=00000163d51a9822a1bbbabb95e53487&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7f52a2ec&cb=1528288768602&jobListingId=2796631019,0.0,06-11-2018,No,,1.0,8.0
"Data Science Manager, Analytics",Facebook,"Menlo Park, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=343912&s=58&guid=00000163d51a9822a1bbbabb95e53487&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a10e6b8b&cb=1528288755413&jobListingId=2221849147,0.0,06-11-2018,No,,1.0,8.0
Head of Data Science,Arm Holdings,"San Jose, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=357007&s=58&guid=00000163d51a9822a1bbbabb95e53487&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_8748c82a&cb=1528288725260&jobListingId=2726326284,0.0,06-11-2018,No,,1.0,8.0
Data Science Engineer,Sojern,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=331158&s=58&guid=00000163d51a9822a1bbbabb95e53487&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_b14eea02&cb=1528288706927&jobListingId=2768808956,0.0,06-11-2018,No,,1.0,8.0
Data Scientist Entry Level,Intel Corporation,"Hillsboro, OR",https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=4120&s=58&guid=00000163d51a9822a1bbbabb95e53487&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d06920db&cb=1528288699470&jobListingId=2523980502,0.0,06-11-2018,No,,1.0,8.0
"Specialist, Data Science",Nationwide,"Columbus, OH",https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=334720&s=58&guid=00000163d51a9822a1bbbabb95e53487&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0e321292&cb=1528288696964&jobListingId=2778359947,0.0,06-11-2018,No,,1.0,8.0
Data Science Intern Ã¢ÂÂ Summer,ID Analytics,"San Diego, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=301515&s=58&guid=00000163d5187b05b7733b40bb92b389&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_b0bb0470&cb=1528288667179&jobListingId=2665683780,0.0,06-11-2018,No,,1.0,8.0
Data Science Engineer,Banjo,"Redwood City, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=270007&tgt=APPLY_START&s=58&guid=00000163d5187b05b7733b40bb92b389&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_584284ce&cb=1528288633342&jobListingId=2769932472,0.0,06-11-2018,No,,1.0,8.0
Revenue Modeling & Data Science Lead,StubHub,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=288828&s=58&guid=00000163d5187b05b7733b40bb92b389&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_20fea948&cb=1528288629433&jobListingId=2604903452,0.0,06-11-2018,No,,1.0,8.0
"Vice President, Data Sciences",Market Strategies International,"Livonia, MI",https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=265967&s=58&guid=00000163d5187b05b7733b40bb92b389&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_441b1316&cb=1528288605884&jobListingId=2682276836,0.0,06-11-2018,No,,1.0,8.0
Data Analyst I,"Milestone Technologies, Inc.","Menlo Park, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2812&ao=52448&s=58&guid=00000163d543f5e9b86fb7e739192c49&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d3bd4c1b&cb=1528291430717&jobListingId=2729708869,0.0,06-11-2018,No,,1.0,8.0
Data Analyst (Must be a US Citizen),Henry M. Jackson Foundation,"San Diego, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2809&ao=4468&s=58&guid=00000163d543f5e9b86fb7e739192c49&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dc8920e1&cb=1528291423308&jobListingId=2634738165,0.0,06-11-2018,No,,1.0,8.0
Manufacturing Data Analyst,Niagara Bottling,"Ontario, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2808&ao=134394&s=58&guid=00000163d543f5e9b86fb7e739192c49&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_244c31b4&cb=1528291420785&jobListingId=2628857030,0.0,06-11-2018,No,,1.0,8.0
CRM Data Analyst,Boot Barn,"Irvine, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2422&ao=23480&s=58&guid=00000163d53e2b82a6cefacfb215168b&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_839534c6&cb=1528291080111&jobListingId=2789112628,0.0,06-11-2018,No,,1.0,8.0
Business Data Analyst,,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2413&ao=225321&s=58&guid=00000163d53e2b82a6cefacfb215168b&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_014d5bd2&cb=1528291056012&jobListingId=2564063684,0.0,06-11-2018,No,,1.0,8.0
Digital Marketing Data Analyst,Callisto Media,"Emeryville, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2408&ao=148364&s=58&guid=00000163d53e2b82a6cefacfb215168b&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_00be6d49&cb=1528291042203&jobListingId=2747230155,0.0,06-11-2018,No,,1.0,8.0
