company,location,position,time
Amgen,"Thousand Oaks, CA",Data Sciences Sr. Associate,4
Brandify,"Anaheim, CA",Data Analyst Intern,
Roblox,"San Mateo, CA",Data Scientist,
Savonix,"San Francisco, CA",Director of Data Science,23
StubHub,"San Francisco, CA",Sr. Data Science Manager,8
Twitter,"San Francisco, CA",Senior Financial Analyst (Revenue Forecasting / Data Science),4
Zoom,"San Jose, CA","Business Analyst, Data Science (Enterprise Focused)",7
Zynga,"San Francisco, CA","Data Analyst 3, Growth",27
Clarity Insights,"San Francisco, CA",Data Engineer - Principal (Big Data Architect),28
C3 IoT,"Redwood City, CA",Data Scientist,
Bayinfotech,"Los Angeles, CA",Data Scientist,
Domino Data Lab,"San Francisco, CA","Principal Engineer, Core Services",19
Dropbox,"San Francisco, CA","Senior Manager, Data Science",14
Transfair U.S.A.,"Oakland, CA",Director of Data Science,13
Mixpanel,"San Francisco, CA",Head of Machine Learning & Data Science,5
AdRoll Group,"San Francisco, CA","Senior Infrastructure Engineer, Data Science",5
StubHub,"San Francisco, CA",Head of Data Science & Engineering,12
Lawrence Berkeley Lab,"Berkeley, CA",Biomedical Data Science Postdoctoral Scholar,7
Vizio Inc.,"San Francisco, CA","Director, Data Science",
Facebook,"Menlo Park, CA","Director, Data Science & Platforms - SMB",12
Intuit,"San Francisco, CA","Director of Data Science, Central Services",12
Bain & Company,"San Francisco, CA","Senior Specialist, Data Science",20
Panasonic Avionics Corporation,"Pleasanton, CA","Sr. Director, Data Science",12
Syneos Health Commercial Solutions,"San Francisco, CA",Per Diem Home Injection Nurse Educator,7
Dropbox,"San Francisco, CA",Senior Data Science Manager,13
Grammarly,"San Francisco, CA",Data Scientist,
IntraEdge,"San Clemente, CA",Data Scientist,16
Databricks,"San Francisco, CA",Senior Data Science Instructor,23
Becton Dickinson and Company,"San Diego, CA",Senior Principal Solution Architect,
Swain Techs,"Pasadena, CA",Science Data Archive and Analytics Manager,22
Shape Security,"Mountain View, CA",Data Scientist,
Feedzai,"San Mateo, CA",Director of Data Science,20
Walmart eCommerce,"Sunnyvale, CA",Data Scientist,
Walt Disney Company,"Burbank, CA","Data Analyst Internship- Burbank, Fall",8
Instacart,"San Francisco, CA","Data Science Manager, Fulfillment",6
Sayva Solutions,"Carlsbad, CA",Data Science Manager,30
Capital One,"San Francisco, CA","Principal Associate, Data Science",22
General Dynamics,"San Diego, CA",Data Scientist,6
Cypress HCM,"San Francisco, CA","Associate Director, Data Science and Analytics",20
Kaiser Permanente,"Pasadena, CA",Data Scientist,8
Freedom Financial Network,"San Mateo, CA",Data Scientist,
iRhythm Technologies,"San Francisco, CA","Director, Data Science",14
J.D. Power,"Westlake Village, Los Angeles, CA",Data Scientist,
Machine Zone,"Palo Alto, CA","Data Science Engineer, Systems",23
Saama,"Campbell, CA","Data Architect, Life Science Commercial",4
PagerDuty,"San Francisco, CA","Senior Software Development Engineer, Data Science",
Adobe,"San Jose, CA",Data Scientist,19
Rose International,"Pleasanton, CA",Data Scientist,
Mathematica Policy Research,"Oakland, CA",Senior Data Science Lead,18
Teradata,"Santa Clara, CA","Director Engineering, Applications and Data Science",
Facebook,"Menlo Park, CA","Data Science Manager, Marketing Science R&D",12
Uber,"San Francisco, CA",Data Science Manager - Customer Obsession,9
Raytheon,"Pasadena, CA",Science Data Processing Engineer,16
Western Digital,"Fremont, CA","Data Science Engineer, Advanced Manufacturing",6
Google,"San Bruno, CA","Product Analytics Lead, Data Science",8
Opinion Dynamics,"San Francisco, CA",MANAGING CONSULTANT- DATA SCIENCE,
Coffee Meets Bagel,"San Francisco, CA",Backend Software Engineer,27
Nordstrom,"Los Angeles, CA",Manager of Data Science & Analytics,
Udemy,"San Francisco, CA",Senior Data Scientist - Decision Science,13
Castlight Health,"Mountain View, CA",Senior Member of Technical Staff - Data Science,
Sapient,"San Francisco, CA","Director, Data Science and Analytics",26
Systems Integration Solutions,"Sunnyvale, CA",Big Data & Data Science Platform Engineer,12
Progress,"Redwood City, CA",DevOps Engineer,
AutoGrid Systems,"Redwood City, CA",Data Science Intern,13
Ultimate Software,"San Francisco, CA","DIRECTOR, DATA STRATEGY AND PRODUCT",19
Patreon,"San Francisco, CA",Data Engineering Lead,5
Coinbase,"San Francisco, CA",Senior Software Engineer - Machine Learning,20
Clover Health,"San Francisco, CA",Data Scientist,
Ultimate Software,"San Francisco, CA",DIRECTOR OF PRODUCT – TALENT DOMAIN,22
Fast Switch,"Pasadena, CA",OBIEE Report Developer (CA3) - BHJOB13738_46244 GD,16
Outpost Games,"South San Francisco, CA",Director of Data Science,20
Safeway Inc,"Pleasanton, CA",Data Science Senior Program Manager,
Rockwell Automation,"San Jose, CA","Technical Consultant, Data Science",28
Uber,"San Francisco, CA","Data Science Manager, Location Services",13
Syneos Health Commercial Solutions,"Riverside, CA","Riverside, CA-Pharmaceutical Sales Representative",
University of California Berkeley,"Berkeley, CA",Lecturer - Data Science - School of Information,13
DoorDash,"San Francisco, CA","Software Engineer, Data Science",
Facebook,"Menlo Park, CA",Data Scientist,
Thermo Fisher Scientific,"Carlsbad, CA",Senior Digital Marketing Manager,
TIBCO Software,"San Francisco, CA",Data Science Application Architect,19
Airbnb,"San Francisco, CA",Data Science Manager - Analytics,30
Qventus,"Mountain View, CA",Data Scientist,
Adobe,"San Jose, CA",Sr. Data Science Engineer,19
FabFitFun,"Los Angeles, CA",Head of Data Science,21
Syneos Health Commercial Solutions,"Los Angeles, CA","Los Angeles, CA-Derm Pharmaceutical Sales Representative",6
Looker,"San Francisco, CA",Enterprise Sales Executive,9
Apple,"Santa Clara, CA","Manager, Machine Learning/Data Science",22
iRobot Corporation,"Pasadena, CA",Cloud Software Engineer,21
Uber,"San Francisco, CA","Data Science Software Engineer, Self Driving",9
Opinion Dynamics,"San Francisco, CA",CONSULTANT– DATA SCIENCE GROUP,
Lyft,"San Francisco, CA",Data Science Manager,28
Medtronic Inc.,"Northridge, CA","Engineering Manager, Data Science&Algorithm Development (DSP)",5
First Health Group,"San Francisco, CA","ED, Data Science",13
Wonolo,"San Francisco, CA",Head of Data Science,15
PayPal,"San Jose, CA",Data Scientist - GFCC,
Facebook,"Menlo Park, CA","Data Scientist, Analytics - Product Foundation",
Splunk,"San Francisco, CA","Senior Manager, Security Innovation & Data Science",
Flexport,"San Francisco, CA",Data Scientist,
Encore Capital Group,"San Diego, CA",Data Analyst,
Cloudera,"Palo Alto, CA","Director Product Management, Data Science",17
